label,n_items,n_agree,agree_rate,field
administrative,394,263,0.6675126903553299,category
charitable,127,84,0.6614173228346457,category
domestic,177,117,0.6610169491525424,category
ecclesiastical,248,182,0.7338709677419355,category
educational,98,67,0.6836734693877551,category
financial,332,199,0.5993975903614458,category
land_rent,789,676,0.8567807351077313,category
maintenance,184,147,0.7989130434782609,category
other,195,46,0.2358974358974359,category
salary_stipend,251,167,0.6653386454183267,category
