decade,estimate,ci_lower,ci_upper,model
1700s,0.5238095238095238,0.0,0.9818181818181818,original
1710s,0.04411764705882353,0.0,0.8869565217391147,original
1720s,0.5447761194029851,0.0,1.0,original
1730s,0.45098039215686275,0.0,1.0,original
1740s,0.34146341463414637,0.01818181818181818,1.0,original
1750s,0.36,0.0,1.0,original
1760s,0.27631578947368424,0.0,0.7142857142857143,original
1770s,0.6260869565217392,0.0,1.0,original
1780s,0.7701149425287356,0.2,1.0,original
1790s,0.43434343434343436,0.0,0.9407396622015143,original
1800s,0.036036036036036036,0.0,0.22857142857142856,original
1810s,0.7383177570093458,0.25472222222222224,1.0,original
1820s,0.847457627118644,0.3076923076923077,1.0,original
1830s,0.1095890410958904,0.0,0.6153846153846154,original
1840s,0.7657657657657657,0.2876712328767123,1.0,original
1850s,0.40310077519379844,0.0,0.7375,original
1860s,0.22115384615384615,0.0,0.6823529411764706,original
1870s,0.34328358208955223,0.0,1.0,original
1880s,0.10555555555555556,0.0,0.2375,original
1890s,0.5828571428571429,0.4810061516293505,1.0,original
1900s,0.08333333333333333,0.043478260869565216,1.0,original
1700s,0.496,0.0,0.9666666666666667,haiku45
1710s,0.2119205298013245,0.0,0.6151890526890527,haiku45
1720s,0.5121951219512195,0.0,1.0,haiku45
1730s,0.4174757281553398,0.0,1.0,haiku45
1740s,0.28688524590163933,0.0,0.7622943722943724,haiku45
1750s,0.35526315789473684,0.0,1.0,haiku45
1760s,0.34285714285714286,0.034482758620689655,1.0,haiku45
1770s,0.6283185840707964,0.0,1.0,haiku45
1780s,0.7701149425287356,0.2,1.0,haiku45
1790s,0.45454545454545453,0.024691358024691357,0.9407396622015143,haiku45
1800s,0.036036036036036036,0.0,0.22857142857142856,haiku45
1810s,0.7037037037037037,0.19088089330024816,0.9854545454545454,haiku45
1820s,0.864406779661017,0.38461538461538464,1.0,haiku45
1830s,0.1095890410958904,0.0,0.6153846153846154,haiku45
1840s,0.7657657657657657,0.35135135135135137,1.0,haiku45
1850s,0.3828125,0.0,0.9310344827586207,haiku45
1860s,0.18,0.0,0.7195121951219512,haiku45
1870s,0.3,0.0,1.0,haiku45
1880s,0.25842696629213485,0.061946902654867256,0.5303326212999694,haiku45
1890s,0.5852272727272727,0.4880420054200542,1.0,haiku45
1900s,0.041666666666666664,0.0,1.0,haiku45
1700s,0.5396825396825397,0.0,1.0,gemini25flash
1710s,0.2119205298013245,0.0,0.6303746928746929,gemini25flash
1720s,0.5413533834586466,0.0,1.0,gemini25flash
1730s,0.4174757281553398,0.0,1.0,gemini25flash
1740s,0.3333333333333333,0.0,1.0,gemini25flash
1750s,0.36,0.0,1.0,gemini25flash
1760s,0.2835820895522388,0.0,1.0,gemini25flash
1770s,0.6347826086956522,0.0,1.0,gemini25flash
1780s,0.7529411764705882,0.13333333333333333,1.0,gemini25flash
1790s,0.43157894736842106,0.0,1.0,gemini25flash
1800s,0.036036036036036036,0.0,0.22857142857142856,gemini25flash
1810s,0.7075471698113207,0.14285714285714285,1.0,gemini25flash
1820s,0.8333333333333334,0.2857142857142857,1.0,gemini25flash
1830s,0.1095890410958904,0.0,0.6153846153846154,gemini25flash
1840s,0.7589285714285714,0.2702702702702703,1.0,gemini25flash
1850s,0.4015748031496063,0.0,1.0,gemini25flash
1860s,0.16494845360824742,0.0,0.6823529411764706,gemini25flash
1870s,0.5151515151515151,0.0,1.0,gemini25flash
1880s,0.03932584269662921,0.0,0.11382113821138211,gemini25flash
1890s,0.5632183908045977,0.4810061516293505,1.0,gemini25flash
1900s,0.20689655172413793,0.0,1.0,gemini25flash
