method,k,skip_threshold,conf_threshold,bin_acc,pres_oracle,pres_ensemble,cost_reduction,avg_calls,balanced,oracle_avg,ensemble_avg,final_avg,avg_axis1,avg_axis2,avg_axis2_match,avg_axis2_sim,avg_axis2_frac,min_score,score_std
CLIP_binary,5,0.03,0.6,0.7071,0.9669,1.0044,0.2222,2.33,0.6806,0.8706,0.838,0.8417,0.8196,0.8512,0.8282,0.9679,0.7334,0.5861,0.0964
CLIP_binary,3,0.02,0.6,0.6566,0.9637,1.0012,0.2727,2.18,0.6793,0.8706,0.838,0.839,0.8134,0.85,0.8273,0.9679,0.7297,0.5861,0.0979
CLIP_binary,3,0.02,0.65,0.6566,0.9637,1.0012,0.2727,2.18,0.6793,0.8706,0.838,0.839,0.8134,0.85,0.8273,0.9679,0.7297,0.5861,0.0979
CLIP_binary,7,0.03,0.6,0.6667,0.9661,1.0037,0.2424,2.27,0.6742,0.8706,0.838,0.8411,0.8156,0.852,0.8304,0.967,0.7334,0.5861,0.0965
CLIP_binary,7,0.03,0.7,0.6667,0.9661,1.0037,0.2424,2.27,0.6742,0.8706,0.838,0.8411,0.8156,0.852,0.8304,0.967,0.7334,0.5861,0.0965
CLIP_binary,7,0.03,0.65,0.6667,0.9661,1.0037,0.2424,2.27,0.6742,0.8706,0.838,0.8411,0.8156,0.852,0.8304,0.967,0.7334,0.5861,0.0965
CLIP_binary,3,0.03,0.6,0.7778,0.964,1.0014,0.1111,2.67,0.6672,0.8706,0.838,0.8392,0.8124,0.8507,0.8273,0.9679,0.7334,0.5861,0.0986
CLIP_binary,3,0.03,0.65,0.7778,0.964,1.0014,0.1111,2.67,0.6672,0.8706,0.838,0.8392,0.8124,0.8507,0.8273,0.9679,0.7334,0.5861,0.0986
CLIP_binary,3,0.01,0.65,0.5859,0.9636,1.001,0.303,2.09,0.6671,0.8706,0.838,0.8389,0.8134,0.8498,0.8273,0.9673,0.7297,0.5861,0.0978
CLIP_binary,3,0.01,0.6,0.5859,0.9636,1.001,0.303,2.09,0.6671,0.8706,0.838,0.8389,0.8134,0.8498,0.8273,0.9673,0.7297,0.5861,0.0978
CLIP_binary,5,0.01,0.6,0.5556,0.9673,1.0049,0.3131,2.06,0.6626,0.8706,0.838,0.8421,0.8227,0.8505,0.8282,0.968,0.7297,0.5861,0.0963
CLIP_binary,7,0.02,0.65,0.5556,0.961,0.9983,0.3131,2.06,0.6599,0.8706,0.838,0.8366,0.8097,0.8481,0.8247,0.966,0.7297,0.5861,0.1007
