method,k,conf_threshold,accuracy,fallback_rate,pres_oracle,pres_ensemble,cost_reduction,avg_calls,balanced,oracle_avg,ensemble_avg,final_avg,avg_axis1,avg_axis2,avg_axis2_match,avg_axis2_sim,avg_axis2_frac,min_score,score_std
CLIP_multiclass,3,0.3,0.3939,0.0,0.9689,1.0066,0.2727,2.18,0.6026,0.8706,0.838,0.8435,0.8275,0.8504,0.8276,0.9697,0.7284,0.5666,0.1049
CLIP_multiclass,5,0.3,0.3333,0.0,0.9637,1.0011,0.2929,2.12,0.5883,0.8706,0.838,0.839,0.829,0.8432,0.8272,0.971,0.6918,0.5666,0.098
CLIP_multiclass,5,0.4,0.303,0.2727,0.9602,0.9975,0.3131,2.06,0.5838,0.8706,0.838,0.8359,0.8245,0.8408,0.8161,0.9644,0.717,0.5666,0.0984
CLIP_multiclass,3,0.4,0.2727,0.4545,0.9671,1.0047,0.3131,2.06,0.5776,0.8706,0.838,0.8419,0.824,0.8496,0.8236,0.9679,0.7372,0.5666,0.1032
CLIP_multiclass,3,0.6,0.2727,0.4545,0.9671,1.0047,0.3131,2.06,0.5776,0.8706,0.838,0.8419,0.824,0.8496,0.8236,0.9679,0.7372,0.5666,0.1032
CLIP_multiclass,3,0.5,0.2727,0.4545,0.9671,1.0047,0.3131,2.06,0.5776,0.8706,0.838,0.8419,0.824,0.8496,0.8236,0.9679,0.7372,0.5666,0.1032
CLIP_multiclass,3,0.7,0.2424,0.8788,0.9716,1.0093,0.3333,2.0,0.5765,0.8706,0.838,0.8458,0.827,0.8539,0.8322,0.9678,0.7372,0.5861,0.1044
CLIP_multiclass,5,0.7,0.2424,1.0,0.9691,1.0068,0.3333,2.0,0.5754,0.8706,0.838,0.8437,0.8255,0.8515,0.8279,0.967,0.7372,0.5861,0.1054
CLIP_multiclass,9,0.7,0.2424,1.0,0.9691,1.0068,0.3333,2.0,0.5754,0.8706,0.838,0.8437,0.8255,0.8515,0.8279,0.967,0.7372,0.5861,0.1054
CLIP_multiclass,9,0.6,0.2424,1.0,0.9691,1.0068,0.3333,2.0,0.5754,0.8706,0.838,0.8437,0.8255,0.8515,0.8279,0.967,0.7372,0.5861,0.1054
CLIP_multiclass,7,0.7,0.2424,1.0,0.9691,1.0068,0.3333,2.0,0.5754,0.8706,0.838,0.8437,0.8255,0.8515,0.8279,0.967,0.7372,0.5861,0.1054
CLIP_multiclass,7,0.6,0.2424,1.0,0.9691,1.0068,0.3333,2.0,0.5754,0.8706,0.838,0.8437,0.8255,0.8515,0.8279,0.967,0.7372,0.5861,0.1054
CLIP_multiclass,7,0.3,0.2727,0.1818,0.9682,1.0058,0.303,2.09,0.575,0.8706,0.838,0.8429,0.8311,0.8479,0.8277,0.9721,0.712,0.5666,0.0998
CLIP_multiclass,7,0.4,0.2727,0.1818,0.9682,1.0058,0.303,2.09,0.575,0.8706,0.838,0.8429,0.8311,0.8479,0.8277,0.9721,0.712,0.5666,0.0998
CLIP_multiclass,7,0.5,0.2121,0.8788,0.9686,1.0063,0.3333,2.0,0.5661,0.8706,0.838,0.8432,0.8245,0.8513,0.8274,0.9671,0.7372,0.5861,0.1025
CLIP_multiclass,9,0.5,0.2121,0.8485,0.9671,1.0047,0.3333,2.0,0.5655,0.8706,0.838,0.8419,0.8259,0.8488,0.8224,0.9671,0.7372,0.5861,0.1019
CLIP_multiclass,9,0.3,0.2424,0.0,0.9609,0.9983,0.2828,2.15,0.5569,0.8706,0.838,0.8365,0.8252,0.8414,0.8238,0.9719,0.6898,0.5666,0.098
CLIP_multiclass,5,0.6,0.1818,0.7576,0.9668,1.0044,0.3232,2.03,0.5533,0.8706,0.838,0.8417,0.821,0.8505,0.8258,0.9672,0.7372,0.5666,0.104
CLIP_multiclass,9,0.4,0.1818,0.5152,0.9607,0.9981,0.3232,2.03,0.5507,0.8706,0.838,0.8364,0.8229,0.8422,0.8162,0.9656,0.7221,0.5861,0.0974
CLIP_multiclass,5,0.5,0.1515,0.6364,0.9658,1.0033,0.3232,2.03,0.5438,0.8706,0.838,0.8408,0.8205,0.8495,0.8233,0.9679,0.7372,0.5666,0.1015
