decade,income_share,threshold
1700,0.5551697530864197,all_entries
1710,0.609594340665414,all_entries
1720,0.6033870967741936,all_entries
1730,0.549209992055786,all_entries
1740,0.541089108910891,all_entries
1750,0.5163836296723274,all_entries
1760,0.5038267081033443,all_entries
1770,0.48806609547123625,all_entries
1780,0.45765386638611255,all_entries
1790,0.45911047345767575,all_entries
1800,0.48641236599351784,all_entries
1810,0.48131868131868133,all_entries
1820,0.44656488549618323,all_entries
1830,0.398027790228597,all_entries
1840,0.32515337423312884,all_entries
1850,0.29617537313432835,all_entries
1860,0.1524911927528938,all_entries
1870,0.21462945139557266,all_entries
1880,0.3878787878787879,all_entries
1890,0.4984126984126984,all_entries
1900,0.56,all_entries
1700,0.5501788740350216,conf_ge_0.90
1710,0.6156476002629848,conf_ge_0.90
1720,0.6265661884873797,conf_ge_0.90
1730,0.5617886997683553,conf_ge_0.90
1740,0.5449928724162508,conf_ge_0.90
1750,0.5175245035151639,conf_ge_0.90
1760,0.5104857404711844,conf_ge_0.90
1770,0.4874661246612466,conf_ge_0.90
1780,0.4677871148459384,conf_ge_0.90
1790,0.4619078104993598,conf_ge_0.90
1800,0.474713607152836,conf_ge_0.90
1810,0.4803098773402195,conf_ge_0.90
1820,0.4448705656759348,conf_ge_0.90
1830,0.3988283010365029,conf_ge_0.90
1840,0.32416851441241684,conf_ge_0.90
1850,0.2992874109263658,conf_ge_0.90
1860,0.15416451112260735,conf_ge_0.90
1870,0.21525096525096524,conf_ge_0.90
1880,0.3894414690130069,conf_ge_0.90
1890,0.49946977730646874,conf_ge_0.90
1900,0.56,conf_ge_0.90
1700,0.5336883063690354,conf_ge_0.95
1710,0.6132006439338504,conf_ge_0.95
1720,0.611602264825668,conf_ge_0.95
1730,0.5625408585748529,conf_ge_0.95
1740,0.5539395106915815,conf_ge_0.95
1750,0.5114490674318508,conf_ge_0.95
1760,0.5162959130884636,conf_ge_0.95
1770,0.4846556886227545,conf_ge_0.95
1780,0.46922815368922133,conf_ge_0.95
1790,0.4537785588752197,conf_ge_0.95
1800,0.4768211920529801,conf_ge_0.95
1810,0.47886347886347885,conf_ge_0.95
1820,0.4516608824987605,conf_ge_0.95
1830,0.4004750593824228,conf_ge_0.95
1840,0.3250585480093677,conf_ge_0.95
1850,0.2986217457886677,conf_ge_0.95
1860,0.16314888762122076,conf_ge_0.95
1870,0.22006141248720573,conf_ge_0.95
1880,0.39444444444444443,conf_ge_0.95
1890,0.5010845986984815,conf_ge_0.95
1900,0.5510204081632653,conf_ge_0.95
