scheme,era,category,share
baseline,industrial_1760_1840,administrative,0.1733
baseline,industrial_1760_1840,charitable,0.0213
baseline,industrial_1760_1840,domestic,0.0529
baseline,industrial_1760_1840,ecclesiastical,0.1005
baseline,industrial_1760_1840,educational,0.023
baseline,industrial_1760_1840,financial,0.081
baseline,industrial_1760_1840,land_rent,0.33
baseline,industrial_1760_1840,maintenance,0.0825
baseline,industrial_1760_1840,other,0.0392
baseline,industrial_1760_1840,salary_stipend,0.0962
baseline,post_1840,administrative,0.1638
baseline,post_1840,charitable,0.0487
baseline,post_1840,domestic,0.0487
baseline,post_1840,ecclesiastical,0.0866
baseline,post_1840,educational,0.0841
baseline,post_1840,financial,0.1693
baseline,post_1840,land_rent,0.1228
baseline,post_1840,maintenance,0.1255
baseline,post_1840,other,0.0499
baseline,post_1840,salary_stipend,0.1006
baseline,pre_1760,administrative,0.1174
baseline,pre_1760,charitable,0.018
baseline,pre_1760,domestic,0.0814
baseline,pre_1760,ecclesiastical,0.0893
baseline,pre_1760,educational,0.0348
baseline,pre_1760,financial,0.0374
baseline,pre_1760,land_rent,0.4062
baseline,pre_1760,maintenance,0.0435
baseline,pre_1760,other,0.1044
baseline,pre_1760,salary_stipend,0.0675
alt_a_shifted,mid_1750_1850,administrative,0.1704
alt_a_shifted,mid_1750_1850,charitable,0.0256
alt_a_shifted,mid_1750_1850,domestic,0.0543
alt_a_shifted,mid_1750_1850,ecclesiastical,0.1019
alt_a_shifted,mid_1750_1850,educational,0.0249
alt_a_shifted,mid_1750_1850,financial,0.0787
alt_a_shifted,mid_1750_1850,land_rent,0.3198
alt_a_shifted,mid_1750_1850,maintenance,0.0884
alt_a_shifted,mid_1750_1850,other,0.0398
alt_a_shifted,mid_1750_1850,salary_stipend,0.0961
alt_a_shifted,post_1850,administrative,0.1629
alt_a_shifted,post_1850,charitable,0.046
alt_a_shifted,post_1850,domestic,0.0516
alt_a_shifted,post_1850,ecclesiastical,0.0781
alt_a_shifted,post_1850,educational,0.0982
alt_a_shifted,post_1850,financial,0.1949
alt_a_shifted,post_1850,land_rent,0.1005
alt_a_shifted,post_1850,maintenance,0.1174
alt_a_shifted,post_1850,other,0.0525
alt_a_shifted,post_1850,salary_stipend,0.0979
alt_a_shifted,pre_1750,administrative,0.1119
alt_a_shifted,pre_1750,charitable,0.018
alt_a_shifted,pre_1750,domestic,0.0794
alt_a_shifted,pre_1750,ecclesiastical,0.089
alt_a_shifted,pre_1750,educational,0.0353
alt_a_shifted,pre_1750,financial,0.0328
alt_a_shifted,pre_1750,land_rent,0.409
alt_a_shifted,pre_1750,maintenance,0.0432
alt_a_shifted,pre_1750,other,0.115
alt_a_shifted,pre_1750,salary_stipend,0.0663
alt_b_late_start,industrial_1780_1840,administrative,0.1759
alt_b_late_start,industrial_1780_1840,charitable,0.0223
alt_b_late_start,industrial_1780_1840,domestic,0.0504
alt_b_late_start,industrial_1780_1840,ecclesiastical,0.1003
alt_b_late_start,industrial_1780_1840,educational,0.0225
alt_b_late_start,industrial_1780_1840,financial,0.0817
alt_b_late_start,industrial_1780_1840,land_rent,0.32
alt_b_late_start,industrial_1780_1840,maintenance,0.0885
alt_b_late_start,industrial_1780_1840,other,0.0386
alt_b_late_start,industrial_1780_1840,salary_stipend,0.0998
alt_b_late_start,post_1840,administrative,0.1638
alt_b_late_start,post_1840,charitable,0.0487
alt_b_late_start,post_1840,domestic,0.0487
alt_b_late_start,post_1840,ecclesiastical,0.0866
alt_b_late_start,post_1840,educational,0.0841
alt_b_late_start,post_1840,financial,0.1693
alt_b_late_start,post_1840,land_rent,0.1228
alt_b_late_start,post_1840,maintenance,0.1255
alt_b_late_start,post_1840,other,0.0499
alt_b_late_start,post_1840,salary_stipend,0.1006
alt_b_late_start,pre_1780,administrative,0.1282
alt_b_late_start,pre_1780,charitable,0.0179
alt_b_late_start,pre_1780,domestic,0.0769
alt_b_late_start,pre_1780,ecclesiastical,0.092
alt_b_late_start,pre_1780,educational,0.0326
alt_b_late_start,pre_1780,financial,0.0471
alt_b_late_start,pre_1780,land_rent,0.3972
alt_b_late_start,pre_1780,maintenance,0.0474
alt_b_late_start,pre_1780,other,0.0897
alt_b_late_start,pre_1780,salary_stipend,0.071
alt_c_finer,early_industrial_1760_1800,administrative,0.1706
alt_c_finer,early_industrial_1760_1800,charitable,0.0173
alt_c_finer,early_industrial_1760_1800,domestic,0.0611
