decade,estimate,ci_lower,ci_upper,model
1700s,0.21428571428571427,0.04,0.40476190476190477,original
1710s,0.271523178807947,0.016169942929613188,0.7016574585635359,original
1720s,0.417910447761194,0.0425531914893617,0.9090909090909091,original
1730s,0.5728155339805825,0.14285714285714285,1.0,original
1740s,0.4715447154471545,0.0,0.8333333333333334,original
1750s,0.6172839506172839,0.037037037037037035,1.0,original
1760s,0.6363636363636364,0.3665425531914893,0.9583333333333334,original
1770s,0.3739130434782609,0.025,0.7941176470588235,original
1780s,0.3563218390804598,0.0,0.8,original
1790s,0.5,0.07142857142857142,0.8814793244030286,original
1800s,0.5555555555555556,0.17777777777777778,1.0,original
1810s,0.5166666666666667,0.05555555555555555,0.8585858585858586,original
1820s,0.7727272727272727,0.5333333333333333,1.0,original
1830s,0.6404494382022472,0.0,0.9761904761904762,original
1840s,0.9910714285714286,0.9696153846153847,1.0,original
1850s,0.8992248062015504,0.7368421052631579,1.0,original
1860s,0.9259259259259259,0.7531730769230769,1.0,original
1870s,0.9104477611940298,0.7409857571214393,1.0,original
1880s,0.8994708994708994,0.7070565797838525,1.0,original
1890s,1.0,1.0,1.0,original
1900s,1.0,1.0,1.0,original
1700s,0.23809523809523808,0.06666666666666667,0.4289885297184566,haiku45
1710s,0.4900662251655629,0.1016949152542373,0.9545454545454546,haiku45
1720s,0.39552238805970147,0.02127659574468085,0.8700102704553236,haiku45
1730s,0.6407766990291263,0.23214285714285715,0.9375,haiku45
1740s,0.4715447154471545,0.06677475337961272,0.84375,haiku45
1750s,0.6790123456790124,0.2222222222222222,1.0,haiku45
1760s,0.6233766233766234,0.3856868131868132,0.9583333333333334,haiku45
1770s,0.4,0.0,0.9375,haiku45
1780s,0.3448275862068966,0.022727272727272728,0.7919354838709668,haiku45
1790s,0.46,0.03571428571428571,0.8814793244030286,haiku45
1800s,0.5384615384615384,0.19718309859154928,0.8666666666666667,haiku45
1810s,0.5333333333333333,0.05555555555555555,0.88030303030303,haiku45
1820s,0.7575757575757576,0.18181818181818182,0.9803921568627451,haiku45
1830s,0.6853932584269663,0.20689655172413793,0.9523809523809523,haiku45
1840s,0.7321428571428571,0.42424242424242425,1.0,haiku45
1850s,0.9224806201550387,0.8757763975155279,1.0,haiku45
1860s,0.8148148148148148,0.4796111111111111,0.95,haiku45
1870s,0.8955223880597015,0.7128803245436106,1.0,haiku45
1880s,0.8624338624338624,0.601632882882883,0.9864864864864865,haiku45
1890s,0.9951219512195122,0.986784140969163,1.0,haiku45
1900s,1.0,1.0,1.0,haiku45
1700s,0.18253968253968253,0.0,0.43636363636363634,gemini25flash
1710s,0.5033112582781457,0.1016949152542373,1.0,gemini25flash
1720s,0.39552238805970147,0.02127659574468085,0.8553919890448477,gemini25flash
1730s,0.5825242718446602,0.19642857142857142,1.0,gemini25flash
1740s,0.4715447154471545,0.029411764705882353,0.8166666666666667,gemini25flash
1750s,0.6419753086419753,0.14814814814814814,0.971830985915493,gemini25flash
1760s,0.6753246753246753,0.4210173872180451,0.9167892156862744,gemini25flash
1770s,0.34782608695652173,0.0425531914893617,0.75,gemini25flash
1780s,0.3563218390804598,0.0,0.8612903225806445,gemini25flash
1790s,0.47,0.03571428571428571,0.9193688226114097,gemini25flash
1800s,0.5470085470085471,0.16344774041550653,1.0,gemini25flash
1810s,0.475,0.05555555555555555,0.8398850574712642,gemini25flash
1820s,0.5606060606060606,0.17857142857142858,0.7931034482758621,gemini25flash
1830s,0.42696629213483145,0.0,0.7650714285714277,gemini25flash
1840s,0.8482142857142857,0.7209302325581395,1.0,gemini25flash
1850s,0.813953488372093,0.6578947368421053,0.9263285024154589,gemini25flash
1860s,0.8611111111111112,0.6428571428571429,0.9620253164556962,gemini25flash
1870s,0.9029850746268657,0.7409857571214393,1.0,gemini25flash
1880s,0.8888888888888888,0.7106193693693693,0.9805825242718447,gemini25flash
1890s,0.9902439024390244,0.9393939393939394,1.0,gemini25flash
1900s,1.0,1.0,1.0,gemini25flash
